library_engagement,attendance,lms_activity,assessment_activity,grades
0.855500760311,0.866831917016,0.860086689328,0.874839719235,0.859802654185
0.855636988317,0.864950938797,0.860860300405,0.87539794728,0.837109713304
0.855647493691,0.865966991751,0.861799044519,0.877397272677,0.836354259924
0.857290318588,0.866929725062,0.862845788263,0.880350402782,0.849560867208
0.858276684699,0.863820568283,0.862289899446,0.880401125053,0.837442864473
0.856482153403,0.86351868464,0.864991843981,0.880670477131,0.840707915888
0.861646991559,0.867573789942,0.862177067106,0.876046552719,0.857558297317
0.861313318686,0.870610537758,0.863152296621,0.876949992179,0.875094498531
0.864320335544,0.866364591127,0.869577830558,0.878468750248,0.864688306986
0.873463262352,0.867440427709,0.868134019722,0.875032199002,0.854732054347
0.871026544876,0.86691215586,0.871934287549,0.872690944624,0.873753850663
0.870727062404,0.871495063029,0.870444846517,0.867738076206,0.876968620334
0.871017884753,0.868502226349,0.867622920092,0.875872644392,0.861662282019
0.873364471193,0.865866184508,0.870082490126,0.872666748068,0.861760713707
0.872125076354,0.871953222089,0.870047833353,0.875914478581,0.878929888613
0.896539230903,0.902137828181,0.903046772995,0.916625700298,0.897603795768
0.895328054295,0.910703913358,0.902581158318,0.917908590909,0.905949793312
